DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
0.0004282407407, 2, 2, 0.5, 0, 0, 5.540444302e+284, 3.208560942e+284, 1.969725866e+285
0.0004282407407, 3, 3, 0.7, 0, 0, 3.385407302e+285, 1.969725866e+285, 1.200358524e+286
0.0004282407407, 4, 4, 0.9, 0, 0, 2.062176318e+286, 1.200358524e+286, 0
0.0004398148148, 0, 0, 0.1, 0, 0, 5.187453701e+290, 1, 2.895679899e+291
0.0004398148148, 1, 1, 0.3, 0, 0, 5.272614429e+291, 2.895679899e+291, 1.929729363e+292
0.0004398148148, 2, 2, 0.5, 0, 0, 3.332197283e+292, 1.929729363e+292, 1.184655024e+293
0.0004398148148, 3, 3, 0.7, 0, 0, 2.03609032e+293, 1.184655024e+293, 7.219333314e+293
0.0004398148148, 4, 4, 0.9, 0, 0, 1.240257631e+294, 7.219333314e+293, 0
0.0004513888889, 0, 0, 0.1, 0, 0, 3.119897644e+298, 1, 1.741552873e+299
0.0004513888889, 1, 1, 0.3, 0, 0, 3.171115982e+299, 1.741552873e+299, 1.16059987e+300
0.0004513888889, 2, 2, 0.5, 0, 0, 2.004088143e+300, 1.16059987e+300, 7.124887531e+300
0.0004513888889, 3, 3, 0.7, 0, 0, 1.224568692e+301, 7.124887531e+300, 4.341933885e+301
0.0004513888889, 4, 4, 0.9, 0, 0, 7.459299078e+301, 4.341933885e+301, 0
0.000462962963, 0, 0, 0.1, 0, 0, 3.007584771e+303, 1, 1.678858891e+304
0.000462962963, 1, 1, 0.3, 0, 0, 3.056959305e+304, 1.678858891e+304, 1.118819555e+305
0.000462962963, 2, 2, 0.5, 0, 0, 1.93194318e+305, 1.118819555e+305, 6.868399439e+305
0.000462962963, 3, 3, 0.7, 0, 0, 1.18048557e+306, 6.868399439e+305, 4.185629055e+306
0.000462962963, 4, 4, 0.9, 0, 0, 7.190772539e+306, 4.185629055e+306, 0
0.000474537037, 0, 0, 0.1, 0, 0, 3.007584771e+303, 1, 1.678858891e+304
0.000474537037, 1, 1, 0.3, 0, 0, 3.056959305e+304, 1.678858891e+304, 1.118819555e+305
0.000474537037, 2, 2, 0.5, 0, 0, 1.93194318e+305, 1.118819555e+305, 6.868399439e+305
